Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QL","Livestock Primary","98","Croatia","5510","Production","1017","Meat, goat","2016","2016","tonnes","500","","Official data"
"QL","Livestock Primary","98","Croatia","5510","Production","1017","Meat, goat","2017","2017","tonnes","600","","Official data"
"QL","Livestock Primary","98","Croatia","5510","Production","1017","Meat, goat","2018","2018","tonnes","500","","Official data"
"QL","Livestock Primary","98","Croatia","5510","Production","1073","Meat, goose and guinea fowl","2014","2014","tonnes","559","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","1073","Meat, goose and guinea fowl","2015","2015","tonnes","770","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","1073","Meat, goose and guinea fowl","2016","2016","tonnes","660","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","1073","Meat, goose and guinea fowl","2017","2017","tonnes","663","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","1073","Meat, goose and guinea fowl","2018","2018","tonnes","697","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","1097","Meat, horse","2014","2014","tonnes","3082","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","1097","Meat, horse","2015","2015","tonnes","3157","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","1097","Meat, horse","2016","2016","tonnes","3263","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","1097","Meat, horse","2017","2017","tonnes","3353","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","1097","Meat, horse","2018","2018","tonnes","3442","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","1035","Meat, pig","2014","2014","tonnes","95700","","Official data"
"QL","Livestock Primary","98","Croatia","5510","Production","1035","Meat, pig","2015","2015","tonnes","94000","","Official data"
"QL","Livestock Primary","98","Croatia","5510","Production","1035","Meat, pig","2016","2016","tonnes","98018","","Official data"
"QL","Livestock Primary","98","Croatia","5510","Production","1035","Meat, pig","2017","2017","tonnes","104505","","Official data"
"QL","Livestock Primary","98","Croatia","5510","Production","1035","Meat, pig","2018","2018","tonnes","113500","","Official data"
"QL","Livestock Primary","98","Croatia","5510","Production","977","Meat, sheep","2014","2014","tonnes","5300","","Official data"
"QL","Livestock Primary","98","Croatia","5510","Production","977","Meat, sheep","2015","2015","tonnes","5000","","Official data"
"QL","Livestock Primary","98","Croatia","5510","Production","977","Meat, sheep","2016","2016","tonnes","4971","","Official data"
"QL","Livestock Primary","98","Croatia","5510","Production","977","Meat, sheep","2017","2017","tonnes","4704","","Official data"
"QL","Livestock Primary","98","Croatia","5510","Production","977","Meat, sheep","2018","2018","tonnes","5270","","Official data"
"QL","Livestock Primary","98","Croatia","5510","Production","1080","Meat, turkey","2014","2014","tonnes","9800","","Official data"
"QL","Livestock Primary","98","Croatia","5510","Production","1080","Meat, turkey","2015","2015","tonnes","11400","","Official data"
"QL","Livestock Primary","98","Croatia","5510","Production","1080","Meat, turkey","2016","2016","tonnes","12906","","Official data"
"QL","Livestock Primary","98","Croatia","5510","Production","1080","Meat, turkey","2017","2017","tonnes","12704","","Official data"
"QL","Livestock Primary","98","Croatia","5510","Production","1080","Meat, turkey","2018","2018","tonnes","10964","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","882","Milk, whole fresh cow","2014","2014","tonnes","711400","","Official data"
"QL","Livestock Primary","98","Croatia","5510","Production","882","Milk, whole fresh cow","2015","2015","tonnes","694400","","Official data"
"QL","Livestock Primary","98","Croatia","5510","Production","882","Milk, whole fresh cow","2016","2016","tonnes","670600","","Official data"
"QL","Livestock Primary","98","Croatia","5510","Production","882","Milk, whole fresh cow","2017","2017","tonnes","648400","","Official data"
"QL","Livestock Primary","98","Croatia","5510","Production","882","Milk, whole fresh cow","2018","2018","tonnes","612599","Im","FAO data based on imputation methodology"
"QL","Livestock Primary","98","Croatia","5510","Production","1020","Milk, whole fresh goat","2014","2014","tonnes","10300","","Official data"
