DomainCode;Domain;AreaCode;Country;Element Code;Element;ItemCode;Item;LivestockType;Year;Unit;Production_tonnes;Flag;Flag Description
QL;Livestock Primary;27;Bulgaria;5510;Production;947;Meat, buffalo;Buffaloes;2017;tonnes;1024;Fc;Calculated data
QL;Livestock Primary;11;Austria;5510;Production;867;Meat, cattle;Cattle;2014;tonnes;36475;Fc;Calculated data
QL;Livestock Primary;11;Austria;5510;Production;867;Meat, cattle;Cattle;2015;tonnes;35180;Fc;Calculated data
QL;Livestock Primary;11;Austria;5510;Production;867;Meat, cattle;Cattle;2016;tonnes;34013;Fc;Calculated data
QL;Livestock Primary;11;Austria;5510;Production;867;Meat, cattle;Cattle;2017;tonnes;32016;Fc;Calculated data
QL;Livestock Primary;80;Bosnia and Herzegovina;5510;Production;867;Meat, cattle;Cattle;2014;tonnes;292;Fc;Calculated data
QL;Livestock Primary;80;Bosnia and Herzegovina;5510;Production;867;Meat, cattle;Cattle;2015;tonnes;411;Fc;Calculated data
QL;Livestock Primary;80;Bosnia and Herzegovina;5510;Production;867;Meat, cattle;Cattle;2016;tonnes;223;Fc;Calculated data
QL;Livestock Primary;80;Bosnia and Herzegovina;5510;Production;867;Meat, cattle;Cattle;2017;tonnes;196;Fc;Calculated data
QL;Livestock Primary;27;Bulgaria;5510;Production;867;Meat, cattle;Cattle;2014;tonnes;62;Fc;Calculated data
QL;Livestock Primary;27;Bulgaria;5510;Production;867;Meat, cattle;Cattle;2015;tonnes;57;Fc;Calculated data
QL;Livestock Primary;27;Bulgaria;5510;Production;867;Meat, cattle;Cattle;2016;tonnes;56;Fc;Calculated data
QL;Livestock Primary;27;Bulgaria;5510;Production;867;Meat, cattle;Cattle;2017;tonnes;50;Fc;Calculated data
QL;Livestock Primary;98;Croatia;5510;Production;867;Meat, cattle;Cattle;2014;tonnes;1544;Fc;Calculated data
QL;Livestock Primary;98;Croatia;5510;Production;867;Meat, cattle;Cattle;2015;tonnes;1391;Fc;Calculated data
QL;Livestock Primary;98;Croatia;5510;Production;867;Meat, cattle;Cattle;2016;tonnes;1417;Fc;Calculated data
QL;Livestock Primary;98;Croatia;5510;Production;867;Meat, cattle;Cattle;2017;tonnes;1301;Im;FAO data based on imputation methodology
QL;Livestock Primary;167;Czechia;5510;Production;867;Meat, cattle;Cattle;2014;tonnes;65500;Fc;Calculated data
QL;Livestock Primary;167;Czechia;5510;Production;867;Meat, cattle;Cattle;2015;tonnes;43500;Fc;Calculated data
QL;Livestock Primary;167;Czechia;5510;Production;867;Meat, cattle;Cattle;2016;tonnes;43100;Fc;Calculated data
QL;Livestock Primary;167;Czechia;5510;Production;867;Meat, cattle;Cattle;2017;tonnes;43500;Fc;Calculated data
QL;Livestock Primary;79;Germany;5510;Production;867;Meat, cattle;Cattle;2014;tonnes;5409578;Fc;Calculated data
QL;Livestock Primary;79;Germany;5510;Production;867;Meat, cattle;Cattle;2015;tonnes;5414234;Fc;Calculated data
QL;Livestock Primary;79;Germany;5510;Production;867;Meat, cattle;Cattle;2016;tonnes;5227573;Fc;Calculated data
QL;Livestock Primary;79;Germany;5510;Production;867;Meat, cattle;Cattle;2017;tonnes;5152595;Fc;Calculated data
QL;Livestock Primary;97;Hungary;5510;Production;867;Meat, cattle;Cattle;2014;tonnes;131425;Fc;Calculated data
QL;Livestock Primary;97;Hungary;5510;Production;867;Meat, cattle;Cattle;2015;tonnes;122240;Fc;Calculated data
QL;Livestock Primary;97;Hungary;5510;Production;867;Meat, cattle;Cattle;2016;tonnes;119976;Fc;Calculated data
QL;Livestock Primary;97;Hungary;5510;Production;867;Meat, cattle;Cattle;2017;tonnes;122612;Fc;Calculated data
QL;Livestock Primary;173;Poland;5510;Production;867;Meat, cattle;Cattle;2014;tonnes;988254;Fc;Calculated data
QL;Livestock Primary;173;Poland;5510;Production;867;Meat, cattle;Cattle;2015;tonnes;1043757;Fc;Calculated data
QL;Livestock Primary;173;Poland;5510;Production;867;Meat, cattle;Cattle;2016;tonnes;1087629;Fc;Calculated data
QL;Livestock Primary;173;Poland;5510;Production;867;Meat, cattle;Cattle;2017;tonnes;1111859;Fc;Calculated data
QL;Livestock Primary;146;Republic of Moldova;5510;Production;867;Meat, cattle;Cattle;2014;tonnes;1362800;Im;FAO data based on imputation methodology
QL;Livestock Primary;146;Republic of Moldova;5510;Production;867;Meat, cattle;Cattle;2015;tonnes;1400113;Im;FAO data based on imputation methodology
QL;Livestock Primary;146;Republic of Moldova;5510;Production;867;Meat, cattle;Cattle;2016;tonnes;1458334;Im;FAO data based on imputation methodology
QL;Livestock Primary;146;Republic of Moldova;5510;Production;867;Meat, cattle;Cattle;2017;tonnes;1440332;Im;FAO data based on imputation methodology
QL;Livestock Primary;183;Romania;5510;Production;867;Meat, cattle;Cattle;2014;tonnes;2759128;Fc;Calculated data
QL;Livestock Primary;183;Romania;5510;Production;867;Meat, cattle;Cattle;2015;tonnes;2619972;Fc;Calculated data
QL;Livestock Primary;183;Romania;5510;Production;867;Meat, cattle;Cattle;2016;tonnes;2527517;Fc;Calculated data
QL;Livestock Primary;183;Romania;5510;Production;867;Meat, cattle;Cattle;2017;tonnes;2444790;Im;FAO data based on imputation methodology
QL;Livestock Primary;272;Serbia;5510;Production;867;Meat, cattle;Cattle;2014;tonnes;58934837;Fc;Calculated data
QL;Livestock Primary;272;Serbia;5510;Production;867;Meat, cattle;Cattle;2015;tonnes;59435349;Fc;Calculated data
QL;Livestock Primary;272;Serbia;5510;Production;867;Meat, cattle;Cattle;2016;tonnes;59480468;Fc;Calculated data
QL;Livestock Primary;272;Serbia;5510;Production;867;Meat, cattle;Cattle;2017;tonnes;58408370;Fc;Calculated data
QL;Livestock Primary;199;Slovakia;5510;Production;867;Meat, cattle;Cattle;2014;tonnes;4446798;Fc;Calculated data
QL;Livestock Primary;199;Slovakia;5510;Production;867;Meat, cattle;Cattle;2015;tonnes;4842570;Fc;Calculated data
QL;Livestock Primary;199;Slovakia;5510;Production;867;Meat, cattle;Cattle;2016;tonnes;4905868;Fc;Calculated data
QL;Livestock Primary;199;Slovakia;5510;Production;867;Meat, cattle;Cattle;2017;tonnes;5050984;Fc;Calculated data
QL;Livestock Primary;198;Slovenia;5510;Production;867;Meat, cattle;Cattle;2014;tonnes;21665978;Fc;Calculated data
QL;Livestock Primary;198;Slovenia;5510;Production;867;Meat, cattle;Cattle;2015;tonnes;21748332;Fc;Calculated data
QL;Livestock Primary;198;Slovenia;5510;Production;867;Meat, cattle;Cattle;2016;tonnes;22098424;Fc;Calculated data
QL;Livestock Primary;198;Slovenia;5510;Production;867;Meat, cattle;Cattle;2017;tonnes;22188959;Im;FAO data based on imputation methodology
QL;Livestock Primary;230;Ukraine;5510;Production;867;Meat, cattle;Cattle;2014;tonnes;845457;Fc;Calculated data
QL;Livestock Primary;230;Ukraine;5510;Production;867;Meat, cattle;Cattle;2015;tonnes;925441;Fc;Calculated data
QL;Livestock Primary;230;Ukraine;5510;Production;867;Meat, cattle;Cattle;2016;tonnes;936288;Fc;Calculated data
QL;Livestock Primary;230;Ukraine;5510;Production;867;Meat, cattle;Cattle;2017;tonnes;940361;Fc;Calculated data
QL;Livestock Primary;11;Austria;5510;Production;1058;Meat, chicken;Chickens;2014;tonnes;197241;;Official data
QL;Livestock Primary;11;Austria;5510;Production;1058;Meat, chicken;Chickens;2015;tonnes;164641;;Official data
QL;Livestock Primary;11;Austria;5510;Production;1058;Meat, chicken;Chickens;2016;tonnes;165052;;Official data
QL;Livestock Primary;11;Austria;5510;Production;1058;Meat, chicken;Chickens;2017;tonnes;132878;;Official data
QL;Livestock Primary;80;Bosnia and Herzegovina;5510;Production;1058;Meat, chicken;Chickens;2014;tonnes;202780;;Official data
QL;Livestock Primary;80;Bosnia and Herzegovina;5510;Production;1058;Meat, chicken;Chickens;2015;tonnes;194111;;Official data
