CountryCode;Country;ItemCode;Item;Year;Area_ha;Flag;FlagDescription
27;Bulgaria;6655;Land under perm, meadows and pastures;2017;1392350;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6663;Forestry;2015;3823000;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6646;Forest land;2015;3823000;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6611;Agriculture area actually irrigated;2016;92899;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6694;Cropland area actually irrigated;2016;91188;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6657;Perm, meadows & pastures area actually irrig,;2016;1710;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6671;Agriculture area under organic agric,;2014;74300;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6671;Agriculture area under organic agric,;2015;118800;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6671;Agriculture area under organic agric,;2016;160600;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6671;Agriculture area under organic agric,;2017;136600;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6672;Agriculture area certified organic;2014;20900;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6672;Agriculture area certified organic;2015;96000;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6672;Agriculture area certified organic;2016;36100;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6672;Agriculture area certified organic;2017;48400;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6668;Cropland area under organic agric,;2016;121900;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6668;Cropland area under organic agric,;2017;96700;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6669;Cropland area certified organic;2016;30310;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6669;Cropland area certified organic;2017;35000;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6681;Perm, meadows & pastures area under organic agric,;2015;31800;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6681;Perm, meadows & pastures area under organic agric,;2016;38700;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6681;Perm, meadows & pastures area under organic agric,;2017;39900;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6682;Perm, meadows & pastures area certified organic;2015;28400;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6682;Perm, meadows & pastures area certified organic;2016;5800;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6682;Perm, meadows & pastures area certified organic;2017;13400;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6664;Cropland area under conventional tillage;2016;1790777;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6665;Cropland area under conservation tillage;2016;1336894;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6666;Cropland area under zero or no tillage;2016;4845;Q;Official data reported on FAO Questionnaires from countries
27;Bulgaria;6775;Farm buildings & farmyards;2016;16405;Q;Official data reported on FAO Questionnaires from countries
167;Czechia;6670;Other land;2014;1541000;Fc;Calculated data
167;Czechia;6670;Other land;2015;1560000;Fc;Calculated data
167;Czechia;6670;Other land;2016;1566000;Fc;Calculated data
167;Czechia;6670;Other land;2017;1533000;Fc;Calculated data
167;Czechia;6663;Forestry;2014;2665000;Fm;Manual Estimation
167;Czechia;6663;Forestry;2016;2667000;Fm;Manual Estimation
167;Czechia;6663;Forestry;2017;2667000;Fm;Manual Estimation
167;Czechia;6646;Forest land;2014;2665000;Fm;Manual Estimation
