Animals;Animal_description;Unit;NUTS2;THS_HD_2007;THS_HD_2008;THS_HD_2009;THS_HD_2010;THS_HD_2011;THS_HD_2012;THS_HD_2013;THS_HD_2014;THS_HD_2015;THS_HD_2016;THS_HD_2017;THS_HD_2018;data_quality_2007;data_quality_2008;data_quality_2009;data_quality_2010;data_quality_2011;data_quality_2012;data_quality_2013;data_quality_2014;data_quality_2015;data_quality_2016;data_quality_2017;data_quality_2018
A2300F;dairy cows;THS_HD;PL52;50.6;45.6;46.17;46.22;49.2;41.96;39.59;40.9;38.2;38.9;39;40.8;;;;;;;;;;;;
A3100;pigs;THS_HD;PL52;697.1;555.21;585.15;663.22;549.77;454.26;402.07;419.41;377.47;391;410.3;365.5;;;;;;;;;;;;
A4100;sheep;THS_HD;PL52;2;2.09;2.16;2.36;2.05;2;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A4200;goats;THS_HD;PL52;NaN;3.03;1.5;1.66;2.96;1.6;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A2000;bovine animals;THS_HD;PL61;411.9;443.13;478.35;458.66;446.62;452.93;460.48;476.04;466.36;492.6;518.7;512.8;;;;;;;revised;;;;;
A2300F;dairy cows;THS_HD;PL61;161.5;167.56;182.37;174.22;160.92;155.26;148.25;151.02;141.91;146.1;143.1;149.9;;;;;;;;;;;;
A3100;pigs;THS_HD;PL61;2090.7;1709.55;1756.67;1779.67;1526.25;1294.7;1201.95;1288.31;1159.67;1197.4;1313.9;1089.7;;;;;;;;;;;;
A4100;sheep;THS_HD;PL61;22.5;17.62;16.82;15.61;14.5;12.91;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A4200;goats;THS_HD;PL61;NaN;3.21;3.43;2.12;3.18;2.85;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A2000;bovine animals;THS_HD;PL62;404.9;415.74;412.95;413.2;427.81;434.95;427.56;425.95;405.72;419.1;452.2;451.7;;;;;;;revised;;;;;
A2300F;dairy cows;THS_HD;PL62;184.8;184.02;190.5;186.64;198;186.21;184.31;175.82;155.96;161.3;178.1;174.8;;;;;;;;;;;;
A3100;pigs;THS_HD;PL62;805.9;639.8;618.2;673.59;608.63;539.3;494.88;496.51;452.56;466.9;519.3;547.7;;;;;;;;;;;;
A4100;sheep;THS_HD;PL62;8.3;9.16;6.91;7.35;7.93;8.62;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A4200;goats;THS_HD;PL62;NaN;5.02;5.34;5.2;3.09;5.72;NaN;NaN;NaN;NaN;NaN;NaN;;;;;;;;;;;;
A2000;bovine animals;THS_HD;PL63;192.6;189.02;172.21;178.3;187.4;187.95;195.87;189.79;193.86;209.4;210.2;210.9;;;;;;;revised;;;;;
A2300F;dairy cows;THS_HD;PL63;76.9;70.87;64.49;62.93;71.69;62.23;64.68;61.58;57.7;55.9;58.3;59.6;;;;;;;;;;;;
A3100;pigs;THS_HD;PL63;1015.1;838;868.29;913.67;786.84;720.21;717.79;723.34;712.65;746.3;768.1;682.7;;;;;;;;;;;;
